,movie_name,mean_rating,votes,award_winning,total_gross,budget,prequel_sequel,action,horror,drama,comedy,super_hero,science_fiction,contemporary_fiction,dramatization,original_screenplay,book_story,comic,remake,r,pg13,pg
0,Avengers: Endgame,8.73,89248,0,2728553592.0,356000000.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,Star Wars: The Last Jedi,6.82,71458,0,1316721747.0,317000000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2,Avengers: Infinity War,8.75,51642,0,2048134200.0,300000000.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,Captain Marvel,6.79,17289,0,1122974126.0,175000000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4,Guardians of the Galaxy Vol. 2,7.9,15502,0,862316233.0,200000000.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,A Quiet Place,8.24,14116,0,334522294.0,17000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6,Blade Runner: 2049,8.82,13731,1,259357408.0,185000000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7,Us,7.78,13479,0,254210310.0,20000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,Hereditary,8.14,10985,0,70133905.0,10000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,Dunkirk,8.54,10977,1,499837368.0,150000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10,Baby Driver,8.58,10592,0,228104185.0,34000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
