,movie_name,production_year,production_budget,revenue,profit,genre,rating,sequel,creative_type,source
1,Krrish,2006,10000000,32430721,22430721,Action,Not Rated,1.0,Science Fiction,Original Screenplay
13,Crank,2006,12000000,43924923,31924923,Action,R,0.0,Contemporary Fiction,Original Screenplay
26,The Marine,2006,15000000,22165608,7165608,Action,PG-13,0.0,Contemporary Fiction,Original Screenplay
40,Running Scared,2006,17000000,9729088,-7270912,Action,R,0.0,Contemporary Fiction,Original Screenplay
44,Renaissance,2006,18000000,2401413,-15598587,Action,R,0.0,Science Fiction,Original Screenplay
63,BloodRayne,2006,25000000,3711633,-21288367,Action,R,0.0,Fantasy,Based on Game
74,Ultraviolet,2006,30000000,30962112,962112,Action,PG-13,0.0,Science Fiction,Original Screenplay
76,Wu ji,2006,30000000,35869934,5869934,Action,PG-13,0.0,Fantasy,Original Screenplay
92,Alex Rider: Operation Stormbreaker,2006,40000000,20722450,-19277550,Action,PG,0.0,Contemporary Fiction,Based on Fiction Book/Short Story
96,Apocalypto,2006,40000000,121032272,81032272,Action,R,0.0,Historical Fiction,Original Screenplay
101,Underworld: Evolution,2006,45000000,113417762,68417762,Action,R,1.0,Fantasy,Original Screenplay
103,Man cheng jin dai huang jin jia,2006,45000000,76904429,31904429,Action,R,0.0,Historical Fiction,Based on Play
105,16 Blocks,2006,45000000,65595141,20595141,Action,PG-13,0.0,Contemporary Fiction,Original Screenplay
109,V for Vendetta,2006,50000000,130214162,80214162,Action,R,0.0,Science Fiction,Based on Comic/Graphic Novel
128,The Guardian,2006,70000000,94973540,24973540,Action,PG-13,0.0,Contemporary Fiction,Original Screenplay
144,The Fast and the Furious: Tokyo Drift,2006,85000000,157794205,72794205,Action,PG-13,1.0,Contemporary Fiction,Based on Factual Book/Article
147,Blood Diamond,2006,100000000,171377916,71377916,Action,R,0.0,Historical Fiction,Original Screenplay
149,Casino Royale,2006,102000000,594420283,492420283,Action,PG-13,1.0,Contemporary Fiction,Based on Fiction Book/Short Story
152,Miami Vice,2006,135000000,163818556,28818556,Action,R,0.0,Contemporary Fiction,Based on TV
154,Mission: Impossible III,2006,150000000,397501348,247501348,Action,PG-13,1.0,Contemporary Fiction,Based on TV
157,X-Men: The Last Stand,2006,210000000,459260946,249260946,Action,PG-13,1.0,Super Hero,Based on Comic/Graphic Novel
161,Rescue Dawn,2007,10000000,7037886,-2962114,Action,PG-13,0.0,Historical Fiction,Based on Real Life Events
174,Gwoemul,2007,12000000,92618117,80618117,Action,R,0.0,Science Fiction,Original Screenplay
202,Arn - Tempelriddaren,2007,16500000,21404122,4904122,Action,R,0.0,Historical Fiction,Based on Fiction Book/Short Story
218,Death Sentence,2007,20000000,16907831,-3092169,Action,R,0.0,Contemporary Fiction,Based on Fiction Book/Short Story
230,Hitman,2007,24000000,99135571,75135571,Action,R,0.0,Contemporary Fiction,Original Screenplay
231,War,2007,25000000,40686409,15686409,Action,R,0.0,Contemporary Fiction,Original Screenplay
236,No Country for Old Men,2007,25000000,164035753,139035753,Action,R,0.0,Historical Fiction,Based on Fiction Book/Short Story
246,DOA: Dead or Alive,2007,30000000,7755686,-22244314,Action,PG-13,0.0,Fantasy,Based on Game
255,Dragon Wars: D-War,2007,32000000,79915361,47915361,Action,PG-13,0.0,Fantasy,Based on Folk Tale/Legend/Fairytale
256,TMNT,2007,35000000,96096018,61096018,Action,PG,0.0,Science Fiction,Based on Comic/Graphic Novel
262,Shoot 'Em Up,2007,39000000,26796824,-12203176,Action,R,0.0,Contemporary Fiction,Original Screenplay
263,Aliens vs. Predator - Requiem,2007,40000000,128884494,88884494,Action,R,1.0,Science Fiction,Based on Movie
271,Resident Evil: Extinction,2007,45000000,149871103,104871103,Action,R,1.0,Science Fiction,Based on Game
281,300,2007,60000000,454161935,394161935,Action,R,0.0,Historical Fiction,Based on Comic/Graphic Novel
284,The Last Legion,2007,67000000,25357771,-41642229,Action,PG-13,0.0,Historical Fiction,Based on Fiction Book/Short Story
287,Next,2007,70000000,73591500,3591500,Action,PG-13,0.0,Science Fiction,Based on Fiction Book/Short Story
289,The Kingdom,2007,72500000,86509602,14009602,Action,R,0.0,Contemporary Fiction,Original Screenplay
299,Live Free or Die Hard,2007,110000000,382288147,272288147,Action,PG-13,1.0,Contemporary Fiction,Based on Fiction Book/Short Story
300,Ghost Rider,2007,120000000,229545589,109545589,Action,PG-13,0.0,Super Hero,Based on Comic/Graphic Novel
301,Fantastic Four: Rise of the Silver Surfer,2007,120000000,289480691,169480691,Action,PG,1.0,Super Hero,Based on Comic/Graphic Novel
307,Transformers,2007,151000000,708272592,557272592,Action,PG-13,0.0,Science Fiction,Based on TV
310,Rush Hour 3,2007,180000000,256585882,76585882,Action,PG-13,1.0,Contemporary Fiction,Original Screenplay
322,Joheunnom nabbeunnom isanghannom,2008,10000000,42226657,32226657,Action,R,0.0,Historical Fiction,Original Screenplay
340,Ong-Bak 2,2008,15000000,7583050,-7416950,Action,R,1.0,Contemporary Fiction,Original Screenplay
357,RocknRolla,2008,18000000,27794339,9794339,Action,R,0.0,Contemporary Fiction,Original Screenplay
362,Der Baader Meinhof Komplex,2008,19700000,16498827,-3201173,Action,R,0.0,Dramatization,Based on Real Life Events
366,Three Kingdoms: Resurrection of the Dragon,2008,20000000,22139590,2139590,Action,R,0.0,Historical Fiction,Based on Fiction Book/Short Story
387,Never Back Down,2008,21000000,39319801,18319801,Action,PG-13,0.0,Contemporary Fiction,Original Screenplay
394,Cloverfield,2008,25000000,171302226,146302226,Action,PG-13,0.0,Science Fiction,Original Screenplay
418,Doomsday,2008,33000000,21621188,-11378812,Action,R,0.0,Science Fiction,Original Screenplay
421,The X-Files: I Want to Believe,2008,35000000,68170792,33170792,Action,PG-13,1.0,Science Fiction,Based on TV
425,Max Payne,2008,35000000,87775050,52775050,Action,PG-13,0.0,Contemporary Fiction,Based on Game
427,Punisher: War Zone,2008,35000000,10157534,-24842466,Action,R,1.0,Super Hero,Based on Comic/Graphic Novel
436,Red Cliff,2008,40000000,119627047,79627047,Action,R,0.0,Dramatization,Based on Real Life Events
437,Transporter 3,2008,40000000,107235592,67235592,Action,PG-13,1.0,Contemporary Fiction,Original Screenplay
442,Bangkok Dangerous,2008,45000000,46598133,1598133,Action,R,0.0,Contemporary Fiction,Remake
445,Babylon A.D.,2008,45000000,70216497,25216497,Action,PG-13,0.0,Science Fiction,Based on Fiction Book/Short Story
447,Rambo,2008,47500000,112214531,64714531,Action,R,1.0,Contemporary Fiction,Based on Fiction Book/Short Story
453,The Forbidden Kingdom,2008,55000000,129075270,74075270,Action,PG-13,0.0,Fantasy,Based on Fiction Book/Short Story
458,The Spirit,2008,60000000,39006188,-20993812,Action,PG-13,0.0,Super Hero,Based on Comic/Graphic Novel
463,In the Name of the King: A Dungeon Siege Tale,2008,60000000,13233220,-46766780,Action,PG-13,0.0,Fantasy,Based on Game
467,Death Race,2008,65000000,72516819,7516819,Action,R,0.0,Science Fiction,Remake
470,Wanted,2008,75000000,342416460,267416460,Action,R,0.0,Science Fiction,Based on Comic/Graphic Novel
477,Hellboy II: The Golden Army,2008,82500000,160388063,77888063,Action,PG-13,1.0,Super Hero,Based on Comic/Graphic Novel
485,Speed Racer,2008,120000000,93394462,-26605538,Action,PG,0.0,Science Fiction,Based on TV
490,Hancock,2008,150000000,624234272,474234272,Action,PG-13,0.0,Super Hero,Original Screenplay
496,The Dark Knight,2008,185000000,1001996207,816996207,Action,PG-13,1.0,Super Hero,Based on Comic/Graphic Novel
499,Quantum of Solace,2008,230000000,591692078,361692078,Action,PG-13,1.0,Contemporary Fiction,Based on Fiction Book/Short Story
558,12 Rounds,2009,20000000,17306648,-2693352,Action,PG-13,0.0,Contemporary Fiction,Original Screenplay
574,Shi Yue Wei Cheng,2009,23000000,44195779,21195779,Action,,0.0,Historical Fiction,
578,Faster,2009,24000000,35792945,11792945,Action,R,0.0,Contemporary Fiction,Original Screenplay
580,Fighting,2009,25000000,32831707,7831707,Action,PG-13,0.0,Contemporary Fiction,Original Screenplay
613,Underworld 3: Rise of the Lycans,2009,35000000,89102315,54102315,Action,R,1.0,Fantasy,Original Screenplay
615,Obitaemyy ostrov,2009,36500000,15000000,-21500000,Action,,0.0,Science Fiction,Based on Fiction Book/Short Story
628,Cirque du Freak: The Vampire's Assistant,2009,40000000,39753957,-246043,Action,PG-13,0.0,Fantasy,Based on Fiction Book/Short Story
635,Street Fighter: The Legend of Chun-Li,2009,50000000,12660287,-37339713,Action,PG-13,0.0,Contemporary Fiction,Based on Game
642,Gamer,2009,50000000,42002029,-7997971,Action,R,0.0,Science Fiction,Original Screenplay
643,Ninja Assassin,2009,50000000,62209892,12209892,Action,R,0.0,Contemporary Fiction,Original Screenplay
649,Red Tails,2009,58000000,50365498,-7634502,Action,PG-13,0.0,Historical Fiction,Based on Real Life Events
664,Inglourious Basterds,2009,70000000,316915264,246915264,Action,R,0.0,Historical Fiction,Original Screenplay
666,Killers,2009,75000000,95572749,20572749,Action,PG-13,0.0,Contemporary Fiction,Original Screenplay
667,Surrogates,2009,80000000,119668350,39668350,Action,PG-13,0.0,Science Fiction,Based on Comic/Graphic Novel
671,Fast & Furious,2009,85000000,363064265,278064265,Action,PG-13,1.0,Contemporary Fiction,Based on Factual Book/Article
680,The Taking of Pelham 123,2009,110000000,152364370,42364370,Action,R,0.0,Contemporary Fiction,Remake
681,Watchmen,2009,138000000,186976250,48976250,Action,R,0.0,Super Hero,Based on Comic/Graphic Novel
684,X-Men Origins: Wolverine,2009,150000000,374825760,224825760,Action,PG-13,0.0,Super Hero,Spin-Off
689,G.I. Joe: The Rise of Cobra,2009,175000000,302469017,127469017,Action,PG-13,0.0,Contemporary Fiction,Based on Toy
691,2012,2009,200000000,788408539,588408539,Action,PG-13,0.0,Science Fiction,Original Screenplay
692,Terminator Salvation,2009,200000000,365491792,165491792,Action,PG-13,1.0,Science Fiction,Original Screenplay
693,Transformers: Revenge of the Fallen,2009,210000000,836519699,626519699,Action,PG-13,1.0,Science Fiction,Based on TV
695,Avatar,2009,425000000,2776345279,2351345279,Action,PG-13,0.0,Science Fiction,Original Screenplay
717,Machete,2010,12500000,46370970,33870970,Action,R,0.0,Contemporary Fiction,Original Screenplay
736,Centurion,2010,15000000,7885048,-7114952,Action,R,0.0,Historical Fiction,Original Screenplay
782,The Losers,2010,25000000,29863840,4863840,Action,PG-13,0.0,Contemporary Fiction,Based on Comic/Graphic Novel
785,The Eagle,2010,25000000,38993548,13993548,Action,PG-13,0.0,Historical Fiction,Based on Fiction Book/Short Story
810,Repo Men,2010,32000000,18195238,-13804762,Action,R,0.0,Science Fiction,Based on Fiction Book/Short Story
814,The Darkest Hour,2010,34800000,62831715,28031715,Action,PG-13,0.0,Science Fiction,Original Screenplay
839,Predators,2010,40000000,127234389,87234389,Action,R,1.0,Science Fiction,Original Screenplay
844,The Mechanic,2010,42500000,76347393,33847393,Action,R,0.0,Contemporary Fiction,Remake
850,Jonah Hex,2010,47000000,11022696,-35977304,Action,PG-13,0.0,Historical Fiction,Based on Comic/Graphic Novel
856,Drive Angry,2010,50000000,41042583,-8957417,Action,R,0.0,Fantasy,Original Screenplay
866,Ghost Rider: Spirit of Vengeance,2010,57000000,149217355,92217355,Action,PG-13,1.0,Contemporary Fiction,Original Screenplay
868,Red,2010,60000000,196439693,136439693,Action,PG-13,0.0,Contemporary Fiction,Based on Comic/Graphic Novel
873,Red Dawn,2010,65000000,48164150,-16835850,Action,PG-13,0.0,Contemporary Fiction,Remake
880,Battle: Los Angeles,2010,70000000,213463976,143463976,Action,PG-13,0.0,Science Fiction,Original Screenplay
886,The Book of Eli,2010,80000000,158750817,78750817,Action,R,0.0,Science Fiction,Original Screenplay
888,The Expendables,2010,82000000,268268174,186268174,Action,R,0.0,Contemporary Fiction,Original Screenplay
891,Conan the Barbarian,2010,90000000,63356133,-26643867,Action,R,0.0,Fantasy,Based on Fiction Book/Short Story
894,Unstoppable,2010,95000000,165720921,70720921,Action,PG-13,0.0,Dramatization,Based on Real Life Events
901,The Green Hornet,2010,110000000,229155503,119155503,Action,PG-13,0.0,Super Hero,Based on TV
902,Real Steel,2010,110000000,263880341,153880341,Action,PG-13,0.0,Science Fiction,Based on Fiction Book/Short Story
903,The A-Team,2010,110000000,177241171,67241171,Action,PG-13,0.0,Contemporary Fiction,Based on TV
905,Knight and Day,2010,117000000,258751370,141751370,Action,PG-13,0.0,Contemporary Fiction,Original Screenplay
907,Clash of the Titans,2010,125000000,493214888,368214888,Action,PG-13,0.0,Fantasy,Remake
919,Iron Man 2,2010,170000000,621156389,451156389,Action,PG-13,1.0,Super Hero,Based on Comic/Graphic Novel
922,Prince of Persia: Sands of Time,2010,200000000,336359676,136359676,Action,PG-13,0.0,Fantasy,Based on Game
924,Robin Hood,2010,210000000,322459006,112459006,Action,PG-13,0.0,Historical Fiction,Based on Folk Tale/Legend/Fairytale
937,For Greater Glory: The True Story of Cristiada,2011,12000000,10026255,-1973745,Action,R,0.0,Dramatization,Based on Real Life Events
941,Act of Valor,2011,12000000,82497035,70497035,Action,R,0.0,Contemporary Fiction,Original Screenplay
944,Attack the Block,2011,13000000,6459183,-6540817,Action,R,0.0,Fantasy,Original Screenplay
947,Reign of Assassins,2011,14000000,11354230,-2645770,Action,R,0.0,Historical Fiction,Original Screenplay
953,Drive,2011,15000000,81357930,66357930,Action,R,0.0,Contemporary Fiction,Based on Fiction Book/Short Story
955,The Man with the Iron Fists,2011,15000000,22018988,7018988,Action,R,0.0,Contemporary Fiction,Original Screenplay
977,Contraband,2011,25000000,98406855,73406855,Action,R,0.0,Contemporary Fiction,Remake
982,Ironclad,2011,25000000,5297411,-19702589,Action,R,0.0,Historical Fiction,Original Screenplay
993,Looper,2011,30000000,170466405,140466405,Action,R,0.0,Science Fiction,Original Screenplay
1001,Safe,2011,33000000,41495213,8495213,Action,R,0.0,Contemporary Fiction,Original Screenplay
1013,Riddick,2011,38000000,94763758,56763758,Action,R,1.0,Science Fiction,Original Screenplay
1029,Dredd,2011,45000000,41467606,-3532394,Action,R,0.0,Science Fiction,Based on Comic/Graphic Novel
1033,Hansel & Gretel: Witch Hunters,2011,50000000,214949716,164949716,Action,R,0.0,Contemporary Fiction,Based on Folk Tale/Legend/Fairytale
1037,Bullet to the Head,2011,55000000,22597969,-32402031,Action,R,0.0,Contemporary Fiction,Based on Comic/Graphic Novel
1038,The Equalizer,2011,55000000,192903624,137903624,Action,R,0.0,Contemporary Fiction,Based on TV
1047,Sin City: A Dame to Kill For,2011,65000000,40650842,-24349158,Action,R,1.0,Fantasy,Based on Comic/Graphic Novel
1051,Killer Elite,2011,70000000,65409046,-4590954,Action,R,0.0,Contemporary Fiction,Based on Fiction Book/Short Story
1054,Underworld: Awakening,2011,70000000,160379930,90379930,Action,R,1.0,Fantasy,Original Screenplay
1055,Immortals,2011,75000000,211562435,136562435,Action,R,0.0,Fantasy,Based on Folk Tale/Legend/Fairytale
1056,Sucker Punch,2011,75000000,89758389,14758389,Action,R,0.0,Fantasy,Original Screenplay
1078,Sherlock Holmes: A Game of Shadows,2011,125000000,535663443,410663443,Action,PG-13,1.0,Historical Fiction,Based on Fiction Book/Short Story
1079,Fast Five,2011,125000000,630163454,505163454,Action,PG-13,1.0,Contemporary Fiction,Based on Factual Book/Article
1084,R.I.P.D.,2011,130000000,79076678,-50923322,Action,PG-13,0.0,Science Fiction,Based on Comic/Graphic Novel
1089,Captain America: The First Avenger,2011,140000000,370569776,230569776,Action,PG-13,0.0,Super Hero,Based on Comic/Graphic Novel
1090,Mission: Impossible—Ghost Protocol,2011,145000000,694713230,549713230,Action,PG-13,1.0,Contemporary Fiction,Based on TV
1091,Thor,2011,150000000,449326618,299326618,Action,PG-13,0.0,Super Hero,Based on Comic/Graphic Novel
1094,X-Men: First Class,2011,160000000,355408305,195408305,Action,PG-13,1.0,Super Hero,Based on Comic/Graphic Novel
1095,Cowboys and Aliens,2011,163000000,176038324,13038324,Action,PG-13,0.0,Science Fiction,Based on Comic/Graphic Novel
1097,Edge of Tomorrow,2011,178000000,370541256,192541256,Action,PG-13,0.0,Science Fiction,Based on Comic/Graphic Novel
1099,World War Z,2011,190000000,531514650,341514650,Action,PG-13,0.0,Science Fiction,Based on Fiction Book/Short Story
1100,Transformers: Dark of the Moon,2011,195000000,1123790543,928790543,Action,PG-13,1.0,Science Fiction,Based on TV
1102,Green Lantern,2011,200000000,219535492,19535492,Action,PG-13,0.0,Super Hero,Based on Comic/Graphic Novel
1107,Battleship,2011,220000000,313477717,93477717,Action,PG-13,0.0,Contemporary Fiction,Based on Game
1108,The Avengers,2011,225000000,1517935897,1292935897,Action,PG-13,0.0,Super Hero,Based on Comic/Graphic Novel
1149,Pain & Gain,2012,26000000,81275291,55275291,Action,R,0.0,Contemporary Fiction,Based on Real Life Events
1151,The Last Stand,2012,30000000,48330757,18330757,Action,R,0.0,Contemporary Fiction,Original Screenplay
1159,Stolen,2012,35000000,17967746,-17032254,Action,R,0.0,Contemporary Fiction,Original Screenplay
1174,2 Guns,2012,61000000,132493015,71493015,Action,R,0.0,Contemporary Fiction,Based on Comic/Graphic Novel
1175,"I, Frankenstein",2012,65000000,74575290,9575290,Action,PG-13,0.0,Fantasy,Based on Comic/Graphic Novel
1177,Resident Evil: Retribution,2012,65000000,240647629,175647629,Action,R,1.0,Science Fiction,Based on Game
1184,A Good Day to Die Hard,2012,92000000,304249198,212249198,Action,R,1.0,Contemporary Fiction,Original Screenplay
1186,The Expendables 2,2012,100000000,311979256,211979256,Action,R,1.0,Contemporary Fiction,Original Screenplay
1190,Elysium,2012,120000000,286192091,166192091,Action,R,0.0,Science Fiction,Original Screenplay
1191,Total Recall,2012,125000000,211856088,86856088,Action,PG-13,0.0,Science Fiction,Based on Fiction Book/Short Story
1192,After Earth,2012,130000000,251499665,121499665,Action,PG-13,0.0,Science Fiction,Original Screenplay
1194,G.I. Joe: Retaliation,2012,140000000,375740705,235740705,Action,PG-13,1.0,Contemporary Fiction,Based on Toy
1198,Fast and Furious 6,2012,160000000,789300444,629300444,Action,PG-13,1.0,Contemporary Fiction,Based on Factual Book/Article
1203,Skyfall,2012,200000000,1110526981,910526981,Action,PG-13,1.0,Contemporary Fiction,Based on Fiction Book/Short Story
1205,Iron Man 3,2012,200000000,1215392272,1015392272,Action,PG-13,1.0,Super Hero,Based on Comic/Graphic Novel
1206,Man of Steel,2012,225000000,667999518,442999518,Action,PG-13,1.0,Super Hero,Based on Comic/Graphic Novel
1208,The Dark Knight Rises,2012,275000000,1084439099,809439099,Action,PG-13,1.0,Super Hero,Based on Comic/Graphic Novel
