,movie_name,production_year,production_budget,revenue,profit,genre,rating,sequel,creative_type,source
0,Madea's Family Reunion,2006,10000000,63320521,53320521,Comedy,PG-13,1.0,Contemporary Fiction,Based on Play
3,A Prairie Home Companion,2006,10000000,26716191,16716191,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
5,Employee of the Month,2006,10000000,38364855,28364855,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
10,Jackass: Number Two,2006,11000000,85278712,74278712,Comedy,R,1.0,Factual,Based on TV
12,For Your Consideration,2006,12000000,5549923,-6450077,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
15,Running With Scissors,2006,12000000,8706701,-3293299,Comedy,R,0.0,Dramatization,Based on Fiction Book/Short Story
38,Larry the Cable Guy: Health Inspector,2006,17000000,15680099,-1319901,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
39,ATL,2006,17000000,21170563,4170563,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
41,Beerfest,2006,17500000,20159316,2659316,Comedy,R,0.0,Contemporary Fiction,Original Screenplay
43,Borat,2006,18000000,261443242,243443242,Comedy,R,0.0,Contemporary Fiction,Based on TV
51,School for Scoundrels,2006,20000000,17807569,-2192431,Comedy,PG-13,0.0,Contemporary Fiction,Remake
52,Date Movie,2006,20000000,85146165,65146165,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
54,Stick It,2006,20000000,30399714,10399714,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
55,Man of the Year,2006,20000000,41342180,21342180,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
73,Stranger Than Fiction,2006,30000000,53572822,23572822,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
75,My Super Ex-Girlfriend,2006,30000000,60772856,30772856,Comedy,PG-13,0.0,Super Hero,Original Screenplay
79,Nacho Libre,2006,32000000,99296462,67296462,Comedy,PG,0.0,Contemporary Fiction,Original Screenplay
86,The Benchwarmers,2006,35000000,65063726,30063726,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
87,The Devil Wears Prada,2006,35000000,326073155,291073155,Comedy,PG-13,0.0,Contemporary Fiction,Based on Fiction Book/Short Story
91,Big Momma's House 2,2006,40000000,137047376,97047376,Comedy,PG-13,1.0,Contemporary Fiction,Original Screenplay
95,Scary Movie 4,2006,40000000,178710620,138710620,Comedy,PG-13,1.0,Contemporary Fiction,Original Screenplay
100,Les Bronzés 3: amis pour la vie,2006,42000000,83833602,41833602,Comedy,,1.0,Contemporary Fiction,
104,Last Holiday,2006,45000000,43343247,-1656753,Comedy,PG-13,0.0,Contemporary Fiction,Remake
112,Deck the Halls,2006,51000000,46815807,-4184193,Comedy,PG,0.0,Contemporary Fiction,Original Screenplay
116,"You, Me and Dupree",2006,54000000,130402010,76402010,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
120,The Shaggy Dog,2006,60000000,87123569,27123569,Comedy,PG,0.0,Fantasy,Remake
125,Little Man,2006,64000000,101636047,37636047,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
130,Talladega Nights: The Ballad of Ricky Bobby,2006,73000000,162870525,89870525,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
140,Click,2006,82500000,237685089,155185089,Comedy,PG-13,0.0,Fantasy,Original Screenplay
162,The Brothers Solomon,2007,10000000,900926,-9099074,Comedy,R,0.0,Contemporary Fiction,Original Screenplay
163,Severance,2007,10000000,5950002,-4049998,Comedy,R,0.0,Contemporary Fiction,Original Screenplay
165,Reno 911!: Miami,2007,10000000,21851362,11851362,Comedy,R,0.0,Contemporary Fiction,Based on TV
167,Blonde Ambition,2007,10000000,1537479,-8462521,Comedy,PG-13,0.0,Contemporary Fiction,Remake
170,In the Land of Women,2007,10500000,14140402,3640402,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
172,Romance and Cigarettes,2007,11000000,3231251,-7768749,Comedy,R,0.0,Contemporary Fiction,Original Screenplay
173,St. Trinian’s,2007,11400000,29830239,18430239,Comedy,PG-13,0.0,Contemporary Fiction,Remake
177,Lars and the Real Girl,2007,12500000,11277119,-1222881,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
199,Hot Fuzz,2007,16000000,81742618,65742618,Comedy,R,0.0,Contemporary Fiction,Original Screenplay
203,Sydney White,2007,16500000,13636339,-2863661,Comedy,PG-13,0.0,Contemporary Fiction,Based on Folk Tale/Legend/Fairytale
204,Smokin' Aces,2007,17000000,57263440,40263440,Comedy,R,0.0,Contemporary Fiction,Original Screenplay
207,Superbad,2007,17500000,169955142,152455142,Comedy,R,0.0,Contemporary Fiction,Original Screenplay
209,Code Name: The Cleaner,2007,20000000,8135024,-11864976,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
219,Epic Movie,2007,20000000,86858578,66858578,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
221,Death at a Funeral,2007,20000000,46790428,26790428,Comedy,R,0.0,Contemporary Fiction,Original Screenplay
224,Molière,2007,21600000,791154,-20808846,Comedy,PG-13,0.0,Dramatization,
225,The Game Plan,2007,22000000,146590987,124590987,Comedy,PG,0.0,Contemporary Fiction,Original Screenplay
234,Hot Rod,2007,25000000,14334401,-10665599,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
258,Walk Hard: The Dewey Cox Story,2007,35000000,20606053,-14393947,Comedy,R,0.0,Historical Fiction,Original Screenplay
261,Because I Said So,2007,39000000,69538833,30538833,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
270,The Bucket List,2007,45000000,174807445,129807445,Comedy,PG-13,0.0,Contemporary Fiction,Original Screenplay
