,movie_name,production_year,production_budget,revenue,profit,genre,rating,sequel,creative_type,source
2,End of the Spear,2006,10000000,11924041,1924041,Drama,PG-13,0.0,Historical Fiction,Original Screenplay
7,Peaceful Warrior,2006,10000000,3260179,-6739821,Drama,PG-13,0.0,Dramatization,Based on Fiction Book/Short Story
9,Kabhi Alvida Naa Kehna,2006,10750000,32575443,21825443,Drama,Not Rated,0.0,Contemporary Fiction,Original Screenplay
11,Copying Beethoven,2006,11000000,6586324,-4413676,Drama,PG-13,0.0,Dramatization,Based on Real Life Events
14,Fateless,2006,12000000,196857,-11803143,Drama,R,0.0,Historical Fiction,Based on Fiction Book/Short Story
16,Step Up,2006,12000000,110989157,98989157,Drama,PG-13,0.0,Contemporary Fiction,Original Screenplay
17,Find Me Guilty,2006,13000000,2898225,-10101775,Drama,R,0.0,Dramatization,Based on Real Life Events
18,Infamous,2006,13000000,2613717,-10386283,Drama,R,0.0,Dramatization,Based on Fiction Book/Short Story
19,Letters from Iwo Jima,2006,13000000,67867998,54867998,Drama,R,0.0,Historical Fiction,Based on Real Life Events
20,Little Children,2006,14000000,14121177,121177,Drama,R,0.0,Contemporary Fiction,Based on Fiction Book/Short Story
22,Bobby,2006,14000000,20597806,6597806,Drama,R,0.0,Dramatization,Based on Real Life Events
24,Manderlay,2006,14200000,543306,-13656694,Drama,Not Rated,1.0,Historical Fiction,Original Screenplay
27,The Queen,2006,15000000,128885873,113885873,Drama,PG-13,0.0,Dramatization,Based on Real Life Events
28,Flicka,2006,15000000,21896367,6896367,Drama,PG,0.0,Contemporary Fiction,Based on Fiction Book/Short Story
34,The Illusionist,2006,16500000,83792062,67292062,Drama,PG-13,0.0,Historical Fiction,Based on Fiction Book/Short Story
35,FUR: An Imaginary Portrait of Diane Arbus,2006,16800000,2281089,-14518911,Drama,R,0.0,Dramatization,Based on Fiction Book/Short Story
42,United 93,2006,18000000,77635035,59635035,Drama,R,0.0,Dramatization,Based on Real Life Events
45,Indigènes,2006,18900000,26063572,7163572,Drama,Not Rated,0.0,Historical Fiction,Original Screenplay
