,movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,revenue,profit
75,My Super Ex-Girlfriend,2006,23230100,30000000,22530295,38242561,PG-13,Super Hero,Original Screenplay,Live Action,Comedy,0.0,,60772856,30772856
88,Zoom,2006,34430100,35000000,11989328,516860,PG,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0.0,,12506188,-22493812
157,X-Men: The Last Stand,2006,620100,210000000,234362462,224898484,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,104.0,459260946,249260946
159,Superman Returns,2006,940100,232000000,200120000,173965065,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0.0,150.0,374085065,142085065
300,Ghost Rider,2007,3310100,120000000,115802596,113742993,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,110.0,229545589,109545589
301,Fantastic Four: Rise of the Silver Surfer,2007,2500100,120000000,131921738,157558953,PG,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,91.0,289480691,169480691
312,Spider-Man 3,2007,170100,258000000,336530303,558329927,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,1.0,139.0,894860230,636860230
424,Superhero Movie,2008,20910100,35000000,26638520,46387782,PG-13,Super Hero,Original Screenplay,Live Action,Comedy,0.0,86.0,73026302,38026302
427,Punisher: War Zone,2008,40290100,35000000,8050977,2106557,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,103.0,10157534,-24842466
458,The Spirit,2008,25460100,60000000,19806188,19200000,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,102.0,39006188,-20993812
477,Hellboy II: The Golden Army,2008,6260100,82500000,75986503,84401560,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,120.0,160388063,77888063
488,The Incredible Hulk,2008,2380100,137500000,134806913,130766946,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0.0,112.0,265573859,128073859
490,Hancock,2008,670100,150000000,227946274,396287998,PG-13,Super Hero,Original Screenplay,Live Action,Action,0.0,92.0,624234272,474234272
496,The Dark Knight,2008,20100,185000000,533720947,468275260,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,152.0,1001996207,816996207
497,Iron Man,2008,220100,186000000,318604126,266567421,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0.0,126.0,585171547,399171547
661,Astro Boy,2009,125850100,65000000,19551067,22085176,PG,Super Hero,Based on Comic/Graphic Novel,Digital Animation,Adventure,0.0,100.0,41636243,-23363757
681,Watchmen,2009,3740100,138000000,107509799,79466451,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,161.0,186976250,48976250
684,X-Men Origins: Wolverine,2009,1250100,150000000,179883157,194942603,PG-13,Super Hero,Spin-Off,Live Action,Action,0.0,107.0,374825760,224825760
901,The Green Hornet,2010,107800100,110000000,98780042,130375461,PG-13,Super Hero,Based on TV,Live Action,Action,0.0,118.0,229155503,119155503
919,Iron Man 2,2010,117940100,170000000,312433331,308723058,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,125.0,621156389,451156389
1089,Captain America: The First Avenger,2011,124300100,140000000,176654505,193915271,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,124.0,370569776,230569776
1091,Thor,2011,109130100,150000000,181030624,268295994,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,113.0,449326618,299326618
1094,X-Men: First Class,2011,142700100,160000000,146408305,209000000,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,132.0,355408305,195408305
1102,Green Lantern,2011,109700100,200000000,116601172,102934320,PG-13,Super Hero,Based on Comic/Graphic Novel,Animation/Live Action,Action,0.0,113.0,219535492,19535492
1106,The Amazing Spider-Man,2011,125920100,220000000,262030663,495859604,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,1.0,136.0,757890267,537890267
1108,The Avengers,2011,117960100,225000000,623279547,894656350,PG-13,Super Hero,Based on Comic/Graphic Novel,Animation/Live Action,Action,0.0,143.0,1517935897,1292935897
1205,Iron Man 3,2012,146800100,200000000,408992272,806400000,PG-13,Super Hero,Based on Comic/Graphic Novel,Animation/Live Action,Action,1.0,130.0,1215392272,1015392272
1206,Man of Steel,2012,125160100,225000000,291045518,376954000,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,142.0,667999518,442999518
1208,The Dark Knight Rises,2012,140240100,275000000,448139099,636300000,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,164.0,1084439099,809439099
1317,The Wolverine,2013,151730100,115000000,132556852,283900000,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,126.0,416456852,301456852
