,movie_name,production_year,production_budget,revenue,profit,genre,rating,sequel,creative_type,source
4,Saw III,2006,10000000,163876815,153876815,Horror,R,1.0,Contemporary Fiction,Original Screenplay
23,An American Haunting,2006,14000000,30443277,16443277,Horror,PG-13,0.0,Historical Fiction,Based on Fiction Book/Short Story
30,When a Stranger Calls,2006,15000000,67215435,52215435,Horror,PG-13,0.0,Contemporary Fiction,Remake
31,Slither,2006,15250000,12930343,-2319657,Horror,R,0.0,Science Fiction,Original Screenplay
32,El Laberinto del Fauno,2006,16000000,87041569,71041569,Horror,R,0.0,Historical Fiction,Original Screenplay
33,The Texas Chainsaw Massacre: The Beginning,2006,16000000,50517763,34517763,Horror,R,1.0,Historical Fiction,Remake
36,The Hills Have Eyes,2006,17000000,70355813,53355813,Horror,R,0.0,Contemporary Fiction,Remake
49,Stay Alive,2006,20000000,23187506,3187506,Horror,PG-13,0.0,Contemporary Fiction,Original Screenplay
58,The Grudge 2,2006,20000000,70743839,50743839,Horror,PG-13,1.0,Contemporary Fiction,Remake
59,Pulse,2006,20500000,30241435,9741435,Horror,R,0.0,Contemporary Fiction,Remake
64,The Omen,2006,25000000,119295584,94295584,Horror,R,0.0,Contemporary Fiction,Remake
67,Final Destination 3,2006,25000000,112798051,87798051,Horror,R,1.0,Fantasy,Original Screenplay
108,Silent Hill,2006,50000000,94704227,44704227,Horror,R,0.0,Contemporary Fiction,Based on Game
160,Saw IV,2007,10000000,135759694,125759694,Horror,R,1.0,Contemporary Fiction,Original Screenplay
164,White Noise 2: The Light,2007,10000000,8243567,-1756433,Horror,PG-13,1.0,Fantasy,Original Screenplay
181,The Mist,2007,13000000,57189408,44189408,Horror,R,0.0,Science Fiction,Based on Fiction Book/Short Story
185,Halloween,2007,15000000,77514401,62514401,Horror,R,1.0,Fantasy,Original Screenplay
187,The Hills Have Eyes II,2007,15000000,37466538,22466538,Horror,R,1.0,Fantasy,Remake
191,28 Weeks Later,2007,15000000,64232714,49232714,Horror,R,1.0,Science Fiction,Original Screenplay
193,Blood and Chocolate,2007,15000000,6551310,-8448690,Horror,PG-13,0.0,Fantasy,Based on Fiction Book/Short Story
198,The Messengers,2007,16000000,53774833,37774833,Horror,PG-13,0.0,Fantasy,Original Screenplay
212,Dead Silence,2007,20000000,20614661,614661,Horror,R,0.0,Contemporary Fiction,Original Screenplay
227,1408,2007,22500000,131263370,108763370,Horror,R,0.0,Contemporary Fiction,Based on Fiction Book/Short Story
248,30 Days of Night,2007,30000000,80276156,50276156,Horror,R,0.0,Fantasy,Based on Comic/Graphic Novel
265,The Reaping,2007,40000000,62226214,22226214,Horror,R,0.0,Fantasy,Original Screenplay
276,Grindhouse,2007,53000000,50187789,-2812211,Horror,R,0.0,Fantasy,Original Screenplay
303,I am Legend,2007,150000000,585532684,435532684,Horror,PG-13,0.0,Science Fiction,Based on Fiction Book/Short Story
324,Saw V,2008,10800000,118209778,107409778,Horror,R,1.0,Contemporary Fiction,Original Screenplay
328,Quarantine,2008,12000000,41924774,29924774,Horror,R,0.0,Contemporary Fiction,Original Screenplay
356,Prom Night,2008,18000000,57193655,39193655,Horror,PG-13,0.0,Contemporary Fiction,Remake
371,One Missed Call,2008,20000000,44513466,24513466,Horror,PG-13,0.0,Contemporary Fiction,Remake
391,Rogue,2008,23000000,4673377,-18326623,Horror,R,0.0,Contemporary Fiction,Original Screenplay
401,The Ruins,2008,25000000,22910563,-2089437,Horror,R,0.0,Contemporary Fiction,Based on Fiction Book/Short Story
419,Mirrors,2008,35000000,77220596,42220596,Horror,R,0.0,Contemporary Fiction,Remake
511,Saw VI,2009,11000000,69752402,58752402,Horror,R,1.0,Contemporary Fiction,Original Screenplay
521,Sorority Row,2009,12500000,26735797,14235797,Horror,R,0.0,Contemporary Fiction,Remake
527,My Bloody Valentine,2009,14000000,102836002,88836002,Horror,R,0.0,Contemporary Fiction,Remake
533,The Last House on the Left,2009,15000000,46526243,31526243,Horror,R,0.0,Contemporary Fiction,Remake
534,Halloween 2,2009,15000000,38512850,23512850,Horror,R,1.0,Fantasy,Original Screenplay
537,The Unborn,2009,16000000,78208812,62208812,Horror,PG-13,0.0,Fantasy,Original Screenplay
543,Friday the 13th,2009,17000000,92670237,75670237,Horror,R,1.0,Fantasy,Remake
600,Drag Me To Hell,2009,30000000,91388487,61388487,Horror,PG-13,0.0,Contemporary Fiction,Original Screenplay
602,Splice,2009,30000000,28542494,-1457506,Horror,R,0.0,Science Fiction,Original Screenplay
619,Pandorum,2009,40000000,17033431,-22966569,Horror,R,0.0,Science Fiction,Original Screenplay
627,The Final Destination,2009,40000000,187384627,147384627,Horror,R,1.0,Fantasy,Original Screenplay
702,Devil,2010,10000000,63354114,53354114,Horror,PG-13,0.0,Fantasy,Original Screenplay
742,Saw 3D,2010,17000000,133735284,116735284,Horror,R,1.0,Contemporary Fiction,Original Screenplay
749,The Crazies,2010,19000000,56445534,37445534,Horror,R,0.0,Contemporary Fiction,Remake
757,Daybreakers,2010,20000000,51445503,31445503,Horror,R,0.0,Science Fiction,Original Screenplay
759,Dylan Dog: Dead of Night,2010,20000000,6093725,-13906275,Horror,PG-13,0.0,Fantasy,Based on Comic/Graphic Novel
776,Piranha 3D,2010,24000000,83660160,59660160,Horror,R,0.0,Science Fiction,Remake
780,Don't Be Afraid of the Dark,2010,25000000,39126427,14126427,Horror,R,0.0,Contemporary Fiction,Remake
786,My Soul to Take,2010,25000000,16727470,-8272530,Horror,R,0.0,Contemporary Fiction,Original Screenplay
792,Case 39,2010,27000000,28773827,1773827,Horror,R,0.0,Fantasy,Original Screenplay
803,Fright Night,2010,30000000,40520649,10520649,Horror,R,0.0,Contemporary Fiction,Remake
815,A Nightmare on Elm Street,2010,35000000,117729621,82729621,Horror,R,0.0,Fantasy,Remake
827,The Rite,2010,37000000,97143987,60143987,Horror,PG-13,0.0,Dramatization,Based on Factual Book/Article
840,Scream 4,2010,40000000,95989590,55989590,Horror,R,1.0,Contemporary Fiction,Original Screenplay
854,Dream House,2010,50000000,41642166,-8357834,Horror,PG-13,0.0,Contemporary Fiction,Original Screenplay
867,Resident Evil: Afterlife,2010,57500000,295874190,238374190,Horror,R,1.0,Science Fiction,Based on Game
870,Priest,2010,60000000,84154026,24154026,Horror,PG-13,0.0,Fantasy,Based on Comic/Graphic Novel
911,The Wolfman,2010,150000000,142634358,-7365642,Horror,R,0.0,Fantasy,Remake
948,The Possession,2011,14000000,82925064,68925064,Horror,PG-13,0.0,Fantasy,Original Screenplay
960,The Apparition,2011,17000000,10637281,-6362719,Horror,PG-13,0.0,Contemporary Fiction,Original Screenplay
981,Shark Night 3D,2011,25000000,18877153,-6122847,Horror,PG-13,0.0,Contemporary Fiction,Original Screenplay
1012,The Thing,2011,38000000,27573078,-10426922,Horror,R,1.0,Fantasy,Remake
1023,Final Destination 5,2011,40000000,155011165,115011165,Horror,R,1.0,Fantasy,Original Screenplay
1050,Abraham Lincoln: Vampire Hunter,2011,67500000,137489730,69989730,Horror,R,0.0,Fantasy,Based on Fiction Book/Short Story
1112,The Collection,2012,10000000,8890094,-1109906,Horror,R,1.0,Contemporary Fiction,Original Screenplay
1126,Mama,2012,15000000,148095566,133095566,Horror,PG-13,0.0,Fantasy,Based on Short Film
1134,Evil Dead,2012,17000000,97778356,80778356,Horror,R,0.0,Fantasy,Remake
1137,Silent Hill: Revelation 3D,2012,20000000,55975672,35975672,Horror,R,1.0,Fantasy,Based on Game
1139,Texas Chainsaw 3D,2012,20000000,47666013,27666013,Horror,R,1.0,Contemporary Fiction,Original Screenplay
1214,Paranormal Activity: The Ghost Dimension,2013,10000000,77959374,67959374,Horror,R,1.0,Contemporary Fiction,Original Screenplay
1245,The Conjuring,2013,20000000,318000141,298000141,Horror,R,0.0,Fantasy,Original Screenplay
1273,Carrie,2013,30000000,82409520,52409520,Horror,R,0.0,Fantasy,Remake
1374,Wolves,2014,18000000,94953,-17905047,Horror,R,0.0,Fantasy,Based on Folk Tale/Legend/Fairytale
1403,Deliver Us from Evil,2014,30000000,87956618,57956618,Horror,R,0.0,Fantasy,Based on Factual Book/Article
1408,Poltergeist,2014,35000000,95713069,60713069,Horror,PG-13,0.0,Fantasy,Remake
1478,Sinister 2,2015,10000000,54104225,44104225,Horror,R,1.0,Fantasy,Original Screenplay
1482,Insidious Chapter 3,2015,10000000,120453155,110453155,Horror,PG-13,0.0,Contemporary Fiction,Original Screenplay
1486,The Boy,2015,10000000,68220952,58220952,Horror,PG-13,0.0,Fantasy,Original Screenplay
1502,The Vatican Tapes,2015,13000000,14929184,1929184,Horror,PG-13,0.0,Contemporary Fiction,Original Screenplay
1508,The Disappointments Room,2015,15000000,3503761,-11496239,Horror,R,0.0,Contemporary Fiction,Based on Real Life Events
1580,The Conjuring 2: The Enfield Poltergeist,2015,40000000,311262102,271262102,Horror,R,1.0,Fantasy,Original Screenplay
1593,Crimson Peak,2015,55000000,74966854,19966854,Horror,R,0.0,Contemporary Fiction,Original Screenplay
1596,Goosebumps,2015,58000000,158905324,100905324,Horror,PG,0.0,Fantasy,Based on Fiction Book/Short Story
1644,Don’t Breathe,2016,10000000,158973685,148973685,Horror,R,0.0,Contemporary Fiction,Original Screenplay
1646,Blair Witch,2016,10000000,38985577,28985577,Horror,R,0.0,Contemporary Fiction,Original Screenplay
1647,The Purge: Election Year,2016,10000000,118514727,108514727,Horror,R,0.0,Science Fiction,Original Screenplay
1655,Wish Upon,2016,12000000,23477345,11477345,Horror,PG-13,0.0,Contemporary Fiction,Original Screenplay
1661,Annabelle: Creation,2016,15000000,305384865,290384865,Horror,R,1.0,Contemporary Fiction,Original Screenplay
1690,Rings,2016,25000000,82917283,57917283,Horror,PG-13,0.0,Contemporary Fiction,Original Screenplay
1747,Alien: Covenant,2016,97000000,238521247,141521247,Horror,R,1.0,Science Fiction,Original Screenplay
1778,Jigsaw,2017,10000000,102445196,92445196,Horror,R,1.0,Contemporary Fiction,Original Screenplay
1780,Insidious: The Last Key,2017,10000000,167885588,157885588,Horror,PG-13,1.0,Contemporary Fiction,Original Screenplay
1782,Hereditary,2017,10000000,70133905,60133905,Horror,R,0.0,Contemporary Fiction,Original Screenplay
1791,The First Purge,2017,13000000,136617305,123617305,Horror,R,1.0,Contemporary Fiction,Original Screenplay
1795,A Quiet Place,2017,17000000,334522294,317522294,Horror,PG-13,0.0,Contemporary Fiction,Original Screenplay
1801,Suspiria,2017,20000000,6687268,-13312732,Horror,R,0.0,Historical Fiction,Remake
